nom_du_produit,prix,taille_ecran,ram,stockage
"Tecno Spark Go 2024 - 6.6"" (64GB de ROM + 3GB jusqu'à 6Go de RAM) 5000mAh / Blanc",999.0,6.6,6,64
Samsung Galaxy A15 - 4G + 128GB - Jaune,1699.0,6.5,4,128
"Samsung Galaxy S21 FE 6,4"" 8G/256GB SM-G990ELGGMWD - Olive",4589.0,6.41,8,256
Samsung Galaxy A14 6.6'' LTE 4+128GB 50 Mpx SILVER,1650.0,6.6,4,128
"Tecno Spark Go 2024 - 6.6"" (64GB de ROM + 3GB jusqu'à 6Go de RAM) 5000mAh - Noir",999.0,6.6,3,64
"Nokia Téléphone mobile, Dual SIM plus carte sim",229.0,,,
"XIAOMI REDMI NOTE 13 PRO – 6.67""-12GB+512GB – FOREST GREEN",3978.0,6.67,12,512
"Apple iPhone 13 128GB Bleu 6,1"" Blue 5G A15 IOS Mode Cinematique 4Gb RAM Garantie 1 an",8475.0,6.1,4,128
"XIAOMI REDMI NOTE 13 PRO – 6.67""- 12GB + 512GB – LAVENDER PURPLE",3978.0,6.67,12,512
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - Vert",8990.0,6.8,12,256
"XIAOMI Redmi Note 13 Pro+ 5G - 6.67"" – 8 GB RAM – 256 GB ROM – MIDNIGHT BLACK",4668.0,6.67,8,256
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - Noir",8990.0,6.8,12,256
"Apple iPhone 11 64GB Blanc 6,1"" White A13 Bionic iOS Retina HD 4GB RAM Garantie 1 an",5575.0,6.1,4,64
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) - 6000 mAh - 108 MP- Midnight Black",1990.0,6.8,6,256
"Samsung Galaxy A25 - 6.3"" 8GB+256GB - Noir",3099.0,6.3,8,256
"Nokia 110 - 2.4"" - Dual Sim - Noir",489.0,2.4,,
"Nokia 105 (2019) 1.77"" (4Mo, 4Mo) Dual SIM - Noir",197.0,1.77,,
"Samsung Galaxy S21 FE 6,4"" 8G/256GB SM-G990EZWGMWD - Blanc",4589.0,6.41,8,256
"Samsung Galaxy M23 5G - 6.6"" - 4GB RAM+128GB ROM - 50Mpx - Light Blue",1939.0,6.6,4,128
"Tecno Spark 20 Pro - 6,7'' (256Go / 8GB jusqu'à 16 Go) 120Hz - Helio G99 - Gold",2090.0,6.7,8,256
"Samsung Galaxy S21 FE 6,4"" 8G/256GB SM-G990ELVGMWD - Violet",4589.0,6.41,8,256
Samsung Galaxy S23 Ultra 12 Go Ram + 256 Go Rom - Cream,11219.0,6.8,12,256
SQ Mobile S15 Mini militaire 3in1+ Power Bank 3000 mAh-2 sim-Flash-Fm sans fil-Bluetooth,499.0,,,
"Samsung Galaxy M23 5G - 6.6"" - 4GB RAM+128GB ROM - 50Mpx - Orange Copper",1939.0,6.6,4,128
Samsung Galaxy S23 Ultra 12 Go Ram + 256 Go Rom - Green,11219.0,6.8,12,256
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - White",8990.0,6.8,12,256
"XIAOMI Redmi Note 13 Pro - 6.67"" AMOLED 8/256 GB Octa-core 200MP 5000mAh Midnight Black",3491.0,6.67,8,256
"XIAOMI Redmi 13C 6.74"" (6GB - 128GB) Helio G85 - 5000 mAh - 50 MP - Noir",1620.0,6.74,6,128
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) - 6000 mAh - 108 MP- Silver",1940.0,6.8,6,256
Samsung Galaxy S23 Ultra 12 Go Ram + 256 Go Rom - Phantom Black,11119.0,6.8,12,256
"XIAOMI redmi A3 - 6,7"" - 4 + 128 GB - Forest Green",1380.0,6.7,4,128
Nokia G21 128Go 6Go Bleu Batterie 5050 mah - Écran 6.5 - 90Hz,1250.0,6.5,6,128
"Itel it2171 Dual SIM -1.77""-Bluetooth-Camera 1.3MP-Micro Sd-Wireless-Fm",239.0,1.77,,
Infinix HOT 20 X6826 128 Rom 4 Ram - Tempo Blue,1799.0,,4,128
"Apple iPhone 15 Pro Max 256GB Titane Noir 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",14375.0,6.7,8,256
"XIAOMI Redmi 12 Amoled 6,79″ (8Go, 256Go) MediaTEK HELIO G88 - 50MP- SILVER",1999.0,6.79,8,256
"Nokia -105- 2019 - 1.77"" - FM Radio-LED torch - DOUBLE SIM",289.0,1.77,,
Infinix HOT 20S X6827 - 6.78” - 128ROM + 8RAM - Sonic Black,2288.0,6.78,8,128
"L8Star BM10 Mini Cell Phone, Mini Mobile Dual Sim Card",199.0,,,
"Apple iPhone 15 Pro Max 256GB Titane Naturel 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",14525.0,6.7,8,256
"Itel A50 6GB(2+4GB)/64GB, 6,6” Dynamic Display, 5000mAh, 4G - Lime Green",909.0,6.6,4,64
"Apple iPhone 15 Pro Max 256GB Titane Blanc 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",14675.0,6.7,8,256
"XIAOMI Redmi Note 10 Pro - 6.67"" (8Go, 256Go) 108MP / 8MP - Bronze + Band + Écouteur",3049.0,6.67,8,256
"Itel A70 8GB(3+5GB)/128GB, HD+, 13MP, 6.6”, 5000mAh, Type C, Azure Blue",1059.0,6.6,8,128
"Nokia 105-2022 - 1.77"" - FM Radio-LED torch - DOUBLE SIM",399.0,1.77,,
SQ Mobile S15 Mini Robuste militaire 3in1+ Power Bank 3000 mAh- VGA- Dual sim-Flash-Fm sans fil-Bluetooth - noir,469.0,,,
"XIAOMI Redmi Note 10 Pro - 6.67"" (8Go, 256 Go) 108MP / 8MP - Gris + Band + Écouteur",3249.0,6.67,8,256
Accent Tank P18 Gsm 2in1,339.15,,,
Nokia Nouveau téléphone 105,289.0,,,
"Samsung Galaxy A25 - 6.3"" 6GB+128GB - Noir",2749.0,6.3,6,128
"Samsung Tele B310E - 2"" - Dual Sim - Radio",339.15,,,
Nokia Petit mais puissant Découvrez notre mini téléphone,225.25,,,
Accent Tank P18 Gsm 2in1,399.0,,,
Nokia 105 Dual SIM Noir,258.0,,,
Accent Tank P18 Gsm 2in1,339.15,,,
Accent Tank P18 Gsm 2in1,310.25,,,
Telefunken MOBILE PHONE TF703,194.65,,,
Samsung Téléphone portable B310E blanc duos,274.55,,,
Samsung Téléphone portable B310E noir duos,274.55,,,
Accent Tank P18 Gsm 2in1 power Bankk 5000mAh 1.8pouces Caméra et Video,459.0,,,
Nokia 105 Dual SIM Noir,304.3,,,
"Nokia 106 - 1.8"" - FM Radio - DOUBLE SIM",459.0,1.8,,
"Petit mais puissant Découvrez notre mini téléphone, la taille ne fait pas tout",211.65,,,
Accent Tank P18 Gsm 2in1,488.0,,,
"Nokia Phone 106 -DOUBLE SIM - 1.8"" - LED LAMPE -Mèmoire de 2000 Contacts",159.5,1.8,,
Honor Magic 6 Lite (8GB+256GB) +12 Ram 5G Snapdragon 6 -5300 mAh - 108 MP-Vert,2750.0,6.78,8,256
STG Telecom C10 (1GB Ram + 8GB Rom)Quad core - 2MP- 1400mAh-noir,299.0,,1,8
"Samsung Galaxy A34 5G 6,6"" - 8GB + 128GB - Awesome Lime",2958.0,6.6,8,128
"Apple iPhone 15 128GB Noir 6,1"" Black Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM",9275.0,6.1,6,128
"Itel A70 8GB(3+5GB)/128GB, HD+, 13MP, 6.6”, 5000mAh, Type C, Field Green",1059.0,6.6,8,128
"XIAOMI Redmi 13C 6.74"" (8GB - 256GB) Helio G85 - 5000 mAh - 50 MP - Bleu",1750.0,6.74,8,256
"Apple iPhone 15 Pro Max 256GB Titane Bleu 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",14275.0,6.7,8,256
"Nokia C20 Telephone Android 11 - 6.5"" IPS LCD 2/16GB - 3000mAh - 5MP - Dark Blue",749.0,6.5,2,16
"Itel A70 8GB(3+5GB)/128GB, HD+, 13MP, 6.6”, 5000mAh, Type C, Brilliant Gold",1059.0,6.6,8,128
"Itel S24 8+8GB/256GB, 108MP, G91, 6.6” HD+ 90Hz, Dawn White + Smartwatch E1 ISW-32B",1690.0,6.6,8,256
"Kxd D26 6.26 Pouces, 4G Dual SIM, 13MP+8MP, 2Go RAM+32Go ROM, 3600mAh, GPS - NOIR",790.0,6.26,2,32
"Nokia 3310 - 2.4"" - Bleu foncé Dual SIM MP3 Player, Wireless FM Radio Camera,",259.5,2.4,,
Nokia Téléphone Portable 105 / Double SIM,145.0,,,
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Gold",1189.0,6.6,4,128
"Oppo RENO11 5G - 6,7"" - 12Go+256Go - 50MP - Wave Green + Cadeau ENCO BUDS2",4999.0,6.7,12,256
Itel P55 24GB (8+16GB) + 256GB - 50MP - 6.6” HD+ 90Hz - 18W - Moonlit Black + Buds Offert,1349.0,6.6,8,256
"Samsung Galaxy A15 6.6"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Bleu Noir",1690.0,6.6,4,128
"XIAOMI Redmi 13C 6.74"" (8GB - 256GB) Helio G85 - 5000 mAh - 50 MP - Noir",1740.0,6.74,8,256
Samsung Galaxy A14 - 6.6'' - LTE - 6GB + 128GB - 50 Mpx - Silver,1938.0,6.6,6,128
Honor Magic 5 Lite (8GB+256GB) +12 Ram 5G Snapdragon 6 -5300 mAh - 108 MP-Noir,2269.0,6.78,8,256
"Infinix HOT 40 - 6.7"" (256Go ROM / 8GB jusqu'à 16Go) Helio G88 - 50MP - 5000 MAh - Noir",2090.0,6.7,8,256
Oppo RENO11 F 5G - 8Go + 256Go - 32MP selfie - Palm Green + Cadeau ENCO BUDS2,3999.0,6.7,8,256
"Ulefone Téléphone robuste Armor 24 ,12 Go + 256 Go 22000 mAh 64 mégapixels vision nocturne 6 W lumière",4790.0,,12,256
"Apple iPhone 15 128GB Bleu 6,1"" Blue Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM Siri",9175.0,6.1,6,128
"Apple iPhone 13 128GB Minuit 6,1"" Midnight A15 IOS Mode Cinematique 4Gb RAM Garantie",8475.0,6.1,4,128
"XIAOMI Redmi Note 13 Pro+ 5G - 6.67"" - 12 GB RAM - 512 GB ROM - AURORA PURPLE",5304.0,6.67,12,512
STG Telecom K10 (2GB Ram + 32GB Rom)-4G-Ecran 6.1” - 8MP- 3000mAh-BLEU,670.0,6.1,2,32
"Samsung Galaxy A05s - 6,7"" - 6GB+128GB - Silver",1683.0,6.7,6,128
Amazfit GTR 3 Pro Noir,1390.0,,,
"Apple IPhone XR, 6.1"", IOS 128Go - Blanc - Remis à Neuf",3650.0,6.1,,128
"Samsung A05s - 6,7"" - 4GB+128GB - Noir",1492.0,6.7,4,128
Poco M6 Pro 4G 256Go 8Go Noir,2600.0,6.67,8,256
"Apple iPhone 15 Pro Max (256 Go / 8 Go RAM) - Titane Naturel - Ecran OLED 6.7"" - New",14550.0,6.7,8,256
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Noir",1189.0,6.6,4,128
"Apple iPhone 15 Pro Max 512GB Titane Noir 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",16175.0,6.7,8,512
Oppo RENO11 F 5G - 8Go + 256Go - 32MP selfie - Ocean Blue + Cadeau ENCO BUDS2,3999.0,6.7,8,256
"Tecno Spark Go 2024 - 6.6"" (128GB de ROM + 4GB jusqu'à 8Go de RAM) 5000mAh - Blanc",1171.0,6.6,4,128
"XIAOMI POCO X6 (8Go, 256Go) 5G 6.67""AMOLED - Snapdragon 7s Gen 2- 64MP - Noir",3200.0,6.67,8,256
Nokia 5310 Dual SIM Blanc/Rouge,289.99,2.4,,
"Honor X5 Plus 6.5"" (4GB - 64GB) LCD 90Hz - 5200 mAh - 50MP- Cyan",1199.0,6.5,4,64
Samsung Galaxy S24 Ultra SM-S928B Titanium Noir (12Go / 512 Go) Dynamic AMOLED 2x - Neuf,13999.0,,12,512
"ZTE Smartphone 5"" Gsm blade L9 32GB +1GB 3G+-Dual SIM-inch -8MP--Bleu",700.0,5.0,1,32
Samsung GALAXY M54 - 256Go - 8Go Ram - 64 Mpx - Android - Silver,3649.0,6.7,8,256
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Green",1180.0,6.6,4,128
"Nokia 150 - 2.4"" - Dual Sim",204.99,2.4,,
"XIAOMI REDMI NOTE 13 PRO – 6.67""- 8GB+256GB – LAVENDER PURPLE",3342.0,6.67,8,256
"Itel A70 8GB (3+5GB)/64GB, HD+ - 13MP, 6.6” - 5000mAh, Type C - Azure Blue",959.0,6.6,3,64
"Apple iPhone 13 128GB Rose 6,1"" Pink 5G A15 IOS Mode Cinematique 4Gb RAM Garantie 1 an",8475.0,6.1,4,128
"Apple iPhone 12 Normal - 64GB - 6,1"" Black 5G Bionic A14 - 4Gb RAM iOS - Garantie 1 an",5499.0,6.1,4,64
"Apple iPhone 11, 6.1"", 64Go - Blanc - Remis à Neuf",4480.0,6.1,,64
"Honor X8b 6.7"" (256Go / 8GB jusqu'à 16Go) Snapdragon 680 - 108MP/50MP-Vert",2450.0,6.7,8,256
"Apple iPhone 14 128GB Minuit 6,1"" Midnight A15 IOS Mode Action & SOS 6Gb RAM Garantie",8475.0,6.1,6,128
"Apple iPhone 14 128GB Bleu 6,1"" Blue A15 iOS Mode Action & SOS 6Gb RAM Siri Garantie",8875.0,6.1,6,128
Infinix HOT 30i X669C - (128Go ROM / 8GB jusqu'à 16Go) - 50MP - Noir,1350.0,,8,128
"Infinix Smart 7 HD 6.6"" (64GB / 2GB jusqu'à 4Go ) 5000mAH - Green",990.0,6.6,2,64
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) Snapdragon 680 - 6000 mAh - 108 MP- Silver",1949.0,6.8,6,256
Itel P55 24GB (8+16GB) + 256GB - 50MP - 6.6” HD+ 90Hz - 18W - Aurora Blue + Buds Offert,1349.0,6.6,8,256
"Apple iPhone 15 Pro 128GB Titane Bleu 6,1"" Bouton Action A17 Pro 8GB RAM iOS 17 Siri",11975.0,6.1,8,128
Nokia 150 Téléphone Portable Double SIM Noir,194.0,,,
"XIAOMI REDMI NOTE 13 PRO - 6.67""- 8GB+256GB - FOREST GREEN",3342.0,6.67,8,256
Samsung Galaxy A54 5G - 6.5'' - (8GB - 128GB) -50MP+12MP+5MP+/32MP - Noir,3890.0,6.5,8,128
"XIAOMI Redmi A3 6.7"" - ( 128Go - 4RAM ) 13MP - 5000mAh - Bleu",1289.0,6.7,4,128
Samsung Galaxy S24 Ultra SM-S928B Titanium Gris (12Go / 512 Go) Dynamic AMOLED 2x - Neuf,14800.0,,12,512
"XIAOMI Redmi Note 13 Amoled 120Hz 6,67″(6Go, 128Go) Snapdragon 685 - 108MP/8 MP- Bleu",2150.0,6.67,6,128
Honor 90 (12GB+512 GB) 5G - Snapdragon 7 Gen1 4nm - 200 MP - Noir,4090.0,6.7,12,512
"Nokia 5710 Téléphone avec écouteurs sans Fil intégrés, connectivité 4G,",488.0,,,
"Honor X6a 6.5"" (4GB -128GB) LCD 90Hz - 5200 mAh - 50MP- Cyan",1440.0,6.5,4,128
Oppo A38 (6Go+128Go) - 90Hz Ecran Sunlight- 33W - 50MP AI - Glowing Gold,1849.0,,6,128
"Itel A70 12GB (4+8Go)/256Go, HD+ - 13MP, 6.6” - 5000mAh, Type C - Field green",1159.0,6.6,4,256
Nokia Phone 6300 Il ne prend en charge que les réseaux 2G.,259.0,,,
"Oppo A78 - 8Go+ 256Go - 6,43"" FHD+ AMOLED 90Hz- 5000mAh - Aqua Green",2699.0,6.43,8,256
Nokia Téléphone 5310 -Dual Sim (2020)/ Blanc Rouge,799.0,,,
"Tecno Spark 20 Pro Plus 6,7"" Amoled ( 256Go /16GB (8+8Go) Helio G99 Ultimate - Green",2819.0,6.7,8,256
"XIAOMI Redmi Note 13 Amoled 120Hz 6,67″(6Go, 128Go) Snapdragon 685 - 108MP/8 MP- Noir",2180.0,6.7,8,128
"Infinix Note 40 pro + 5G - 6.78"" -24G (12+12) RAM + 512GB ROM – Vintage Green",3900.0,6.78,12,512
"XIAOMI Redmi Note 11S 6,5"" (6Go, 128Go) MediaTek Helio G 96 -108MP/16MP- Gris",2150.0,6.5,6,128
"Tecno Spark 20 Pro Plus 6,7"" Amoled ( 256Go /16GB (8+8Go) Helio G99 Ultimate - Noir",2790.0,6.7,8,256
"Kxd 6A 5.5 Pouces, 3G Dual SIM, 5MP+2MP, 1Go RAM+8Go ROM, 2500mAh, GPS - BLEU",530.0,5.5,1,8
"Apple iPhone 15 128GB Rose 6,1"" Pink Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM Siri",9675.0,6.1,6,128
Nokia 105 - Téléphone portable débloqué GSM,145.0,,,
"XIAOMI Redmi 12 Amoled 6,79″ (8Go, 256Go) MediaTEK HELIO G88 - 50MP- Noir",1890.0,6.79,8,256
"Tecno Spark 20 - 6,6'' 90Hz (256Go / 8GB jusqu'à 16 Go) Helio G85 - Gravity Black",1490.0,6.6,8,256
Nokia 5710 XA 2 carte sim,489.0,,,
Nokia 5710 2 carte sim carte mémoire SD,350.0,,,
"XIAOMI Redmi 13C 6.74"" (8GB - 256GB) Helio G85 - 5000 mAh - 50 MP - VERT",1740.0,6.74,8,256
Itel S24 8+8GB + 256GB - 108MP - Processeur G91 - 6.6” HD+ 90Hz - Starry Black,1599.0,6.6,8,256
"Infinix Note 40 Pro 6.7"" (256Go ROM / 12GB jusqu'à 24Go) Helio G99 - Vintage Green",3649.0,6.7,12,256
"Logicom Téléphon2G DUAL SIM - ECRAN 1.77"" 128 X 160 - 32 MO - BLUETOOTH 2.1",139.0,1.77,,
"Apple iPhone 14 Pro Max 1TB Noir Sideral 6,7"" Space Black 6Gb RAM iOS Dynamic Island",16975.0,6.7,6,1000
"Apple iPhone 11 64GB Noir 6,1"" Black A13 Bionic iOS Retina HD 4GB RAM Garantie 1 an",5275.0,6.1,4,64
"Itel A50 6.6"" HD+ 64GB ROM / 6GB RAM( 2+4) - 5000mAh - Misty Black",990.0,6.6,2,64
"Tecno Spark Go 2024 - 6.6"" (128GB de ROM + 4GB jusqu'à 8Go de RAM) 5000mAh / Noir",1173.0,6.6,4,128
"Apple iPhone 15 Pro Max 512GB Titane Blanc 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",17475.0,6.7,8,512
"Samsung Galaxy M33 - 6.6"" - 5G - 6GB RAM+128GB ROM -Dual Sim - 50Mpx - Marron",2390.0,6.6,6,128
"XIAOMI Redmi Note 13 - 6.67"" AMOLED 8/256GB Snapdragon®685 108MP 5000mAh Midnight Black",2600.0,6.67,8,256
"Apple iPhone 15 Pro Max 1TB Titane Blanc 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",21575.0,6.7,8,1000
Honor 90 lite 5G 256Go 8Go Ram Noir,1950.0,,8,256
"Tecno Spark 20 - 6,6'' 90Hz (256Go / 8GB jusqu'à 16 Go) Helio G85 - Gravity Black",1499.0,6.6,8,256
"Tecno Spark Go 2024 - 6.6"" (64GB de ROM + 3GB jusqu'à 6Go de RAM) 5000mAh - Blanc",999.0,6.6,3,64
Samsung Téléphone Portable,399.0,2.4,,
"Itel P55 6.6"" IPS LCD 90Hz - 128GB ROM / 24GB RAM( 8+16) - 5000mAh - Aurora Blue",1230.0,6.6,24,128
STG Telecom C10 (1GB Ram + 8GB Rom)Quad core - 2MP- 1400mAh-bleu,299.0,,1,8
"Kxd 6A 5.5 Pouces, 3G Dual SIM, 5MP+2MP, 1Go RAM+8Go ROM, 2500mAh, GPS - VERT",529.0,,1,8
Itell A70,1049.0,,,
"Logicom P-178e, téléphone mobile double SIM",135.0,,,
"Kxd 6A 5.5 Pouces, 3G Dual SIM, 5MP+2MP, 1Go RAM+8Go ROM, 2500mAh, GPS - Noir",529.0,,1,8
"Apple iPhone 15 Pro Max 256 Go - Titanium Blue - Ecran OLED 6.7"" inch - 8 Go RAM - New",14700.0,6.7,8,256
Samsung Galaxy A24 (6GB RAM + 128GB ROM) - Blanc- Chargeur NN inclus - Remis a Neuf,1957.0,,6,128
"Samsung Galaxy A25 5G 6.3"" (6GB RAM + 128GB ROM) - 50 Mpx - Noir",2650.0,6.3,6,128
"Samsung Galaxy A05S 6.7"" 4G LTE (6GB RAM + 128GB ROM) - 50 Mpx - Noir",1700.0,6.7,6,128
Samsung Galaxy S24 Ultra SM-S928B Titanium Gris (12Go / 256 Go) Dynamic AMOLED 2x - Neuf,12999.0,,12,256
"Infinix Note 30 - 6.7""-(8 Go-256 Go) ram+ jusqu'a 8G AMOLED -Helio G 99 - 64 MP - BLEU",2290.0,6.7,8,256
"Apple iPhone 12 Normal (64 Go, 4 Go RAM) - 6,1"" - White (Blanc) - A14 Bionic - Neuf",5499.0,6.1,4,64
"XIAOMI Redmi 9C 6.53"" (4Go, 128 Go) Android 13MP+2MP+2MP/5MP - Vert",1360.0,6.53,4,128
"realme 12 pro Plus 5G 6.7"" (512Go ROM / 12GB jusqu'à 24Go) Amoled - 5000mAH/67W - Beige",5480.0,6.7,12,512
"Samsung Galaxy A05s - 6,7"" - 6GB+128GB - Mauve",1683.0,6.7,6,128
"XIAOMI Redmi 13C 6.74"" (6GB - 128GB) Helio G85 - 5000 mAh - 50 MP - Noir",1590.0,6.74,6,128
"Samsung Galaxy A03 (4G Ram 64 G Rom) 6.5"" 5000 mAh - 48MP - Dual Sim-Noir",1440.0,6.5,4,64
"Apple iPhone 15 Pro 128GB Titane Naturel 6,1"" Bouton Action A17 Pro 8GB RAM iOS Siri",11975.0,6.1,8,128
"Samsung Galaxy A13 (4G Ram 64G Rom) 6.5"" 5000 mAh - 50MP - Dual Sim-Blanc",1740.0,6.5,4,64
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) Snapdragon 680 - 6000 mAh - 108 MP- Silver",1949.0,6.8,6,256
Nokia TÉLÉPHONE PORTABLE 150 2023 - NOIR,339.0,,1,8
Motorola moto G84 5G 256Go 12Go rouge,2450.0,,12,256
"Logicom Smartphone Double Sim Le Five, 2Go de RAM et 16 Go de ROM, Écran 5""",645.0,,2,16
"XIAOMI Redmi 13 - 6,79"" - 6+128 - Noir",1849.0,6.79,6,128
"XIAOMI Redmi 12 Amoled 6,79″ (8Go, 128Go) MediaTEK HELIO G88 - 50MP- Bleu",1899.0,6.79,8,128
"Nokia 5.1 Plus Telephone 5.8""HD 4G+ 32Gb Ram 3Go-Double SIM 3060mAh-13MP-Black",1095.0,5.8,3,32
"Tecno Spark 20 Pro - 6,7'' IPS LCD 120Hz (256Go / 8GB jusqu'à 16 Go) Helio G99 - Noir",2070.0,6.7,8,256
"XIAOMI Redmi Note 13 PRO (8Go, 256Go) Mediatek G99-Ultra- 200MP-Vert",3150.0,6.67,8,256
"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx -WHITE",1739.0,6.6,4,64
"Apple iPhone 15 Pro Max 1TB Titane Noir 6,7"" Bouton Action A17 Pro 8GB RAM iOS 17",21575.0,6.7,8,1000
"Nokia Dual Sim Keypad Mobile, radio FM sans fil, Bluetooth, lecteur MP3",289.0,,,
"Infinix Smart 7 HD 6.6"" (64GB / 2GB jusqu'à 4Go ) 5000mAH - Black",980.0,6.6,2,64
"Itel P55 24GB(8+16GB)/256GB, 50MP, 6.6” HD+ 90Hz, 18W, Moonlit Black",1412.0,6.6,8,256
Nokia Téléphone 5310-Dual Sim Appareil photo VGA flash-noir/ rouge (2020),275.0,,,
Logicom Téléphone portable Le KAY 284 4G,479.0,,,
Itel S24 8+8GB + 256GB - 108MP - Processeur G91 - 6.6” HD+ 90Hz - Dawn White,1599.0,6.6,8,256
"Samsung Galaxy A35 - 6.6"" – 8 GB RAM + 256 GB ROM - Violet",4490.0,6.6,8,256
"Apple iPhone 15 Pro Max 256 Go - Titane Black - Ecran OLED 6.7"" inch - 8 Go RAM - New",14400.0,6.7,8,256
